Timestamp,Город или область где вы живете / Yashayotgan shaharingiz yoki viloyat,Возраст / Yoshingiz,Пол / Jinsingiz,Уровень английского / Ingliz tilini bilishingiz darajasi,Образование / Maʼlumotingiz,Должность / Lavozim,Уровень / Daraja,Язык программирования и технологии используемые на работе / Ish jarayonida ishlatiladigan dasturlash tili yoki texnologiyalar,Общий опыт работы (в годах) / Umumiy tajribangiz (yillarda),Опыт работы на текущем месте (в годах) / Joriy ish joyingizdagi tajribangiz (yillarda),Главный офис компании находится в / Kompaniyaning bosh ofisi qayerda?,Тип компании / Kompaniyaning yoʻnalishi yoki turi,Размер компании / Kompaniya hajmi,Работаю / Ishlayman,Компания предлагает / Kompaniya quyidagi qoʻshimchalarni beradi,Получаю зарплату / Maosh olaman,Зарплата в месяц / Oylik maosh,На сколько изменилась зарплата за 12 месяцев / Soʻnggi 12 oy ichida maoshingiz qanchaga oʻzgardi?,Оставьте ваш фидбек и комментарии / Fikringiz va izohingizni qoldiring
2/11/2020 14:16:30,Ташкент / Toshkent shahri,27,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Software Engineer,Middle,"PHP, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS), Python",1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi)",в сумах / soʻmda,5000000,2000000,O'zbekistonda programmistlar uchun maosh minimal 1000$ bo'lishi kerak
2/11/2020 10:28:18,Ташкент / Toshkent shahri,35,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,"CTO, Director of Engineering",Senior,"PHP, Web (HTML/CSS)",>10,5-7,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 200 человек / 200 kishigacha,в офисе / ofisda,"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в сумах / soʻmda,15000000,3000000,
2/11/2020 10:28:37,Сурхандарьинская область / Surxandaryo viloyati,35,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Высшее / Oliy,"CTO, Director of Engineering",Middle,Java/Scala,7-10,7-10,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 1000 человек / 1000 kishigacha,в офисе / ofisda,Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi),в сумах / soʻmda,5500000,350000,
2/11/2020 14:22:54,Ташкент / Toshkent shahri,35,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,"CTO, Director of Engineering",Junior,C#/.NET,1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 1000 человек / 1000 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye",в сумах / soʻmda,1000000,1000000,ок
2/11/2020 22:27:32,Ташкент / Toshkent shahri,30,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,"CTO, Director of Engineering",Lead,"PHP, Android (Kotlin, Java), SQL/PL-SQL, Web (HTML/CSS), Python",>10,>10,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,удаленно / masofadan (remote),"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati",в сумах / soʻmda,10000000,0,"Еще бы учесть доход от доли в компании и тех, кто работает в различных компаниях одновременно. К примеру, меня мест работы 7: 3 гос, 2 частные фирмы, 2 своих проекта"
2/12/2020 0:38:35,Кашкадарьинская область / Qashqadaryo viloyati,22,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,"CTO, Director of Engineering",Lead,"C#/.NET, Java/Scala, C++",3-5,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Питание в офисе (обеды) / Ofisda (tekinga) ovqatlanish (tushlik), Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация проезда или затрат на бензин / Yoʻlkira haqi qoplanadi: ommaviy transport yoki benzin, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Акции, опционы (equity) / Aksiya yoki opsionlar beriladi",в сумах / soʻmda,18000000,10000000,
2/11/2020 11:47:04,Ташкент / Toshkent shahri,28,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Data Scientist,Junior,"SQL/PL-SQL, Python",1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi),в сумах / soʻmda,12000000,6000000,
2/11/2020 12:06:44,Ташкент / Toshkent shahri,24,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Data Scientist,Junior,"Python, C++",1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 1000 человек / 1000 kishigacha,в офисе / ofisda,"Питание в офисе (обеды) / Ofisda (tekinga) ovqatlanish (tushlik), Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация проезда или затрат на бензин / Yoʻlkira haqi qoplanadi: ommaviy transport yoki benzin, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в сумах / soʻmda,5000000,0,
2/11/2020 17:16:54,Ташкент / Toshkent shahri,25,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Database Administrator,Middle,,1-3,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Питание в офисе (обеды) / Ofisda (tekinga) ovqatlanish (tushlik), Компенсация проезда или затрат на бензин / Yoʻlkira haqi qoplanadi: ommaviy transport yoki benzin, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Акции, опционы (equity) / Aksiya yoki opsionlar beriladi",в сумах / soʻmda,5000000,2500000,
2/11/2020 10:50:20,Ташкент / Toshkent shahri,24,Мужской / Erkak,Intermediate (средний / oʻrtacha),Среднее / Oʻrta,Designer,Senior,,3-5,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 200 человек / 200 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn)",в сумах / soʻmda,20000000,,
2/11/2020 13:03:37,Ташкент / Toshkent shahri,24,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Designer,Junior,,<1,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в сумах / soʻmda,5000000,0,
2/11/2020 20:42:24,Ташкент / Toshkent shahri,28,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Designer,Middle,,1-3,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,,в сумах / soʻmda,21000000,,Local kompaniyalarda oldin yaxwi oylik tolawmasdi. Fido Biznesda yaxwi tulawvoti
2/13/2020 18:13:19,Ташкент / Toshkent shahri,24,Женской / Ayol,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Designer,Middle,,1-3,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,,в сумах / soʻmda,16000000,,
2/20/2020 9:53:09,Ташкент / Toshkent shahri,35,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Высшее / Oliy,Designer,Middle,,1-3,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi,в сумах / soʻmda,4500000,0,
2/11/2020 11:46:26,Ташкент / Toshkent shahri,35,Мужской / Erkak,Intermediate (средний / oʻrtacha),Незаконченное высшее / Yakunlanmagan oliy,Product Manager,Senior,,7-10,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Акции, опционы (equity) / Aksiya yoki opsionlar beriladi",в сумах / soʻmda,12000000,3000000,"зарплаты низкие, думаю уезжать из страны"
2/11/2020 15:01:44,Ташкент / Toshkent shahri,23,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Незаконченное высшее / Yakunlanmagan oliy,Project Manager,Middle,,3-5,3-5,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 200 человек / 200 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в сумах / soʻmda,6000000,3000000,
2/12/2020 10:42:35,Ташкент / Toshkent shahri,31,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Project Manager,Senior,,7-10,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,,в сумах / soʻmda,10000000,4000000,"Сделать возможность выбора нескольких должностей, бывают совмещения должностей"
2/11/2020 18:29:17,Хорезмская область / Xorazm viloyati,35,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,QA Engineer,Middle,"Android (Kotlin, Java), Web (HTML/CSS)",5-7,3-5,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 200 человек / 200 kishigacha,в офисе / ofisda,,в сумах / soʻmda,4000000,200000,Zo'r
2/12/2020 14:16:18,Хорезмская область / Xorazm viloyati,33,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Высшее / Oliy,QA Engineer,Junior,"Java/Scala, SQL/PL-SQL, Web (HTML/CSS), C++",7-10,7-10,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Питание в офисе (обеды) / Ofisda (tekinga) ovqatlanish (tushlik), Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Возможность переезда в другой город или страну / Boshqa shahar yoki davlatga koʻchish uchun yordam beriladi",в сумах / soʻmda,4000000,1500000,"ВМнинг 2013 йил 25 январдаги 18 сон карори хамда Президентнинг 2018 йил 19 февралдаги ПФ-5349-сон карори ижроси барча ташкилотларда тулик ижро этилмаяпти. Яни АКТ сохаси деганда имтиёз, устама ойлик маошларини оширишда фақат дастурчи ходимлар назарда тутиляпти. Лекин IT йуналиши, тармоқларни ташкил этиш ва бошқариш, ахборот хавфсизлигини таъминлаш йўналишлари назардан четда колмоқда. Ахир булар бўлмаса дастурчи ишлаб чиккан дастур каерда ва кандай ишлайди. Сервер, администраторлар куну-тун дастурлар узилиб қолишини назорат қиладику. Буни хеч ким кўрамаяпти. 
IT йўналиши, тармоқларни ташкил этиш ва бошқариш, ахборот хавфсизлигини таъминлаш йуналишларида ишлайдиган ходимларни иши хам дастурчи ходимнинг ишидан кўра оғир, масъулиятли, хажм жихатдан кўп бўлса кўпки, кам эмас деб ўйлайман. Шу билан бирга яратилган дастурни ўрнатиш, ишга тушириш, фойдаланувчига ўргатиш, компьютерда тегишли созлаш ишларини бажариш ва бошқалар жойларда АКТнинг юқоридаги сохаларида ишлаётган ходимлар зиммасига тушмоқда. Лекин, натижа факат дастурчиларга берилмокда. 
Хозирги кунда манимча Узбекистонда локал ва корпоратив тармоқ ташкил этмаган сохалар, ташкилотлар этилганлардан кўпроқ. Улар учун хали дастур ёзиш у ёкда турсин. Олдин дастурларни ишлатиш учун тармоқларни, шароитларни ташкил этиш керак. 
Бунинг учун АКТ сохасида ишловчиларни дастур ёзувчиларга нисбатан ажратмаслик керак. Улар хам дастурчилардек маош, устама ва имтиёзларга эга бўлиши керак. "
2/11/2020 11:24:18,Ташкент / Toshkent shahri,23,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Software Engineer,Middle,"PHP, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS), Golang",3-5,3-5,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye",в сумах / soʻmda,8000000,4000000,
2/11/2020 11:24:53,Ташкент / Toshkent shahri,29,Мужской / Erkak,Intermediate (средний / oʻrtacha),Незаконченное высшее / Yakunlanmagan oliy,Software Engineer,Middle,"Java/Scala, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",7-10,3-5,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Акции, опционы (equity) / Aksiya yoki opsionlar beriladi",в сумах / soʻmda,10000000,2000000,
2/11/2020 11:25:02,Ташкент / Toshkent shahri,29,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Software Engineer,Senior,"Java/Scala, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript)",5-7,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,,в сумах / soʻmda,9500000,,
2/11/2020 11:34:31,Ташкент / Toshkent shahri,23,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Незаконченное высшее / Yakunlanmagan oliy,Software Engineer,Junior,"Java/Scala, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в сумах / soʻmda,2200000,200000,
2/11/2020 11:36:40,Ташкент / Toshkent shahri,24,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Software Engineer,Middle,"C#/.NET, Frontend Development (JavaScript, TypeScript), Python",3-5,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 200 человек / 200 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye",в сумах / soʻmda,1500000,-3000000,
2/11/2020 11:39:20,Ташкент / Toshkent shahri,29,Мужской / Erkak,Intermediate (средний / oʻrtacha),Среднее / Oʻrta,Software Engineer,Middle,PHP,1-3,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,,в сумах / soʻmda,8000000,2000,
2/11/2020 11:45:10,Ташкент / Toshkent shahri,24,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Software Engineer,Middle,"Android (Kotlin, Java), Flutter",1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi),в сумах / soʻmda,5000000,,
2/11/2020 11:45:33,Самаркандская область / Samarqand viloyati,30,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Высшее / Oliy,Software Engineer,Middle,"PHP, Java/Scala, SQL/PL-SQL, Web (HTML/CSS)",5-7,7-10,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 1000 человек / 1000 kishigacha,в офисе / ofisda,,в сумах / soʻmda,2500000,0,Я хотел бы работать на лучшее условие и с хорошей зп
2/11/2020 11:51:45,Ташкент / Toshkent shahri,25,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Колледж / Kollej,Software Engineer,Middle,"Android (Kotlin, Java)",1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi),в сумах / soʻmda,8500000,0,
2/11/2020 11:51:57,Ташкент / Toshkent shahri,25,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Высшее / Oliy,Software Engineer,Middle,"PHP, Web (HTML/CSS)",1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация проезда или затрат на бензин / Yoʻlkira haqi qoplanadi: ommaviy transport yoki benzin, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Акции, опционы (equity) / Aksiya yoki opsionlar beriladi",в сумах / soʻmda,4000000,,
2/11/2020 12:09:52,Ташкент / Toshkent shahri,28,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Высшее / Oliy,Software Engineer,Senior,"PHP, SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",>10,3-5,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati",в сумах / soʻmda,7600000,20,
2/11/2020 12:21:19,Ташкент / Toshkent shahri,25,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Software Engineer,Middle,,1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 200 человек / 200 kishigacha,в офисе / ofisda,"Питание в офисе (обеды) / Ofisda (tekinga) ovqatlanish (tushlik), Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye",в долларах США / AQSh dollarida,2000,,Never give up!
2/11/2020 12:59:46,Ташкент / Toshkent shahri,24,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Middle,"C#/.NET, PHP, Android (Kotlin, Java), SQL/PL-SQL, iOS (Swift, Objective C)",1-3,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 200 человек / 200 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn)",в сумах / soʻmda,8000000,,
2/11/2020 13:14:53,Ташкент / Toshkent shahri,26,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Незаконченное высшее / Yakunlanmagan oliy,Software Engineer,Junior,-,1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Возможность удалённой работы / Masofadan ishlash imkoniyati, Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в сумах / soʻmda,6000000,0,
2/11/2020 13:16:38,Ташкент / Toshkent shahri,30,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Высшее / Oliy,Software Engineer,Junior,Java/Scala,1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 200 человек / 200 kishigacha,в офисе / ofisda,"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация проезда или затрат на бензин / Yoʻlkira haqi qoplanadi: ommaviy transport yoki benzin, Компенсация затрат на спорт (фитнес, бассейн) / Sportga chiqimlar qoplanadi (fitnes, basseyn)",в сумах / soʻmda,12000000,4000000,
2/11/2020 13:33:58,Ташкент / Toshkent shahri,32,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Senior,PHP,5-7,3-5,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 10 человек / 10 kishigacha,удаленно / masofadan (remote),Возможность удалённой работы / Masofadan ishlash imkoniyati,в сумах / soʻmda,2100000,100000,Natijalarni bilishga qiziqayapman. So'rov o'tkazayotganingiz uchun rahmat!
2/11/2020 13:42:09,Ташкент / Toshkent shahri,23,Мужской / Erkak,Intermediate (средний / oʻrtacha),Высшее / Oliy,Software Engineer,Junior,Java/Scala,1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi, Акции, опционы (equity) / Aksiya yoki opsionlar beriladi",в сумах / soʻmda,7000000,7000000,
2/11/2020 14:41:14,Ташкент / Toshkent shahri,24,Мужской / Erkak,Upper Intermediate (выше среднего / oʻrtadan yuqori),Высшее / Oliy,Software Engineer,Middle,"PHP, Java/Scala, Android (Kotlin, Java), SQL/PL-SQL, Frontend Development (JavaScript, TypeScript), Web (HTML/CSS), Python, C++",1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi",в сумах / soʻmda,8000000,2000000,
2/11/2020 14:54:26,Ташкент / Toshkent shahri,24,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Незаконченное высшее / Yakunlanmagan oliy,Software Engineer,Middle,"Java/Scala, Android (Kotlin, Java), Web (HTML/CSS), Python, C++",1-3,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,свыше 1000 человек / 1000 dan ortiq odam,в офисе / ofisda,Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi),в сумах / soʻmda,1800000,400000,IT sohasidagilarni qadriga yetishmidi haliyam oson koʻrinadi bularni koʻziga. 12 soatlab kompyuterni oldida kod yozish nimaligini bilishmaydi
2/11/2020 14:59:53,Ташкент / Toshkent shahri,23,Мужской / Erkak,Intermediate (средний / oʻrtacha),Незаконченное высшее / Yakunlanmagan oliy,Software Engineer,Junior,Java/Scala,1-3,<1,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 10 человек / 10 kishigacha,в офисе / ofisda,Бонусы от завершённых проектов / Tugallangan loyihalardan bonus beriladi,в сумах / soʻmda,1500000,,
2/11/2020 15:50:25,Ферганская область / Fargʻona viloyati,29,Мужской / Erkak,Beginner (ниже среднего / oʻrtadan past),Высшее / Oliy,Software Engineer,Middle,"PHP, Web (HTML/CSS)",3-5,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 1000 человек / 1000 kishigacha,в офисе / ofisda,"Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi), Компенсация проезда или затрат на бензин / Yoʻlkira haqi qoplanadi: ommaviy transport yoki benzin",в сумах / soʻmda,3000000,600000,O`zbekistondagi bujjet tashkilotlarda IT mutahasislariga kam maosh to`lashadi
2/11/2020 17:16:10,Ташкент / Toshkent shahri,24,Мужской / Erkak,Advanced (продвинутый / yuqori),Высшее / Oliy,Software Engineer,Middle,"Frontend Development (JavaScript, TypeScript), Web (HTML/CSS)",3-5,1-3,Узбекистан / Oʻzbekiston,Государственная / Davlat tashkiloti,до 50 человек / 50 kishigacha,в офисе / ofisda,"Кофе, чай, печеньки в офисе / Ofisda kofe, choy, pechenye, Предоставление необходимой техники за счёт компании или выделение средств на её приобретение (BYOD) / Zarur texnika kompaniya hisobidan qoplanadi (sotib olinadi yoki ekvivalent pul beriladi)",в долларах США / AQSh dollarida,600,300,Is it anonymous?
